iteration,env_steps,episode_return,episode_seconds,upright_seconds,eval_success,eval_upright_seconds,noise_std,wall_seconds
10,163840,60.17,1.095,0.458,0.000,0.491,0.3182,18
20,327680,77.91,1.201,0.588,0.000,0.620,0.3243,39
30,491520,112.29,1.527,0.772,0.000,0.758,0.3296,61
40,655360,165.48,2.048,1.022,0.000,1.242,0.3125,82
50,819200,241.36,2.690,1.569,0.000,1.824,0.2964,103
60,983040,333.57,3.380,2.452,0.000,3.221,0.2695,124
70,1146880,426.99,4.088,3.573,0.000,4.544,0.2578,144
80,1310720,515.83,4.807,4.487,0.000,7.739,0.2448,165
90,1474560,701.97,6.373,6.107,0.000,12.242,0.2287,186
100,1638400,946.92,8.424,8.200,0.000,6.173,0.2151,207
110,1802240,1074.80,9.486,9.254,0.000,16.281,0.2038,229
120,1966080,956.44,8.473,8.314,0.000,13.284,0.1835,251
130,2129920,1356.38,11.777,11.688,0.000,24.465,0.1769,273
140,2293760,1668.25,14.249,14.192,0.969,58.067,0.1692,293
150,2457600,1908.98,16.063,15.987,0.062,38.376,0.1586,314
160,2621440,1928.84,16.219,16.150,1.000,59.972,0.1536,335
170,2785280,1968.99,16.520,16.469,0.188,49.890,0.1488,357
180,2949120,1938.88,16.286,16.245,1.000,59.981,0.1393,378
190,3112960,1954.58,16.406,16.376,0.062,44.030,0.1334,399
200,3276800,1963.22,16.471,16.442,1.000,59.986,0.1261,421
210,3440640,1977.54,16.549,16.517,1.000,59.973,0.1210,438
220,3604480,1840.68,15.513,15.493,1.000,59.988,0.1249,461
230,3768320,1855.15,15.681,15.660,1.000,59.976,0.1196,482
240,3932160,1858.09,15.644,15.629,0.969,59.793,0.1201,504
250,4096000,1811.78,15.245,15.231,1.000,59.949,0.1150,525
260,4259840,1908.35,15.983,15.976,1.000,59.990,0.1077,546
270,4423680,1951.29,16.336,16.322,0.906,59.861,0.1052,567
280,4587520,1898.95,15.929,15.914,1.000,59.995,0.1038,585
290,4751360,1890.56,15.941,15.932,1.000,59.991,0.0989,605
300,4915200,1922.83,16.174,16.166,1.000,59.978,0.0957,626
