iteration,env_steps,episode_return,episode_seconds,upright_seconds,eval_success,eval_upright_seconds,noise_std,wall_seconds
25,409600,-62.47,1.731,0.123,0.000,0.135,0.4115,143
50,819200,-62.91,1.678,0.153,0.000,0.111,0.3470,285
75,1228800,-58.96,1.555,0.154,0.000,0.090,0.2927,426
100,1638400,-27.79,1.976,0.199,0.000,0.104,0.2543,571
125,2048000,-35.34,1.655,0.183,0.000,0.106,0.2276,669
150,2457600,-36.41,1.902,0.170,0.000,0.106,0.1992,776
175,2867200,-14.54,2.152,0.201,0.000,0.090,0.1806,829
200,3276800,6.11,2.355,0.257,0.000,0.092,0.1585,867
225,3686400,9.53,2.302,0.281,0.000,0.053,0.1413,915
250,4096000,89.53,3.522,0.408,0.000,0.112,0.1258,979
275,4505600,42.49,2.843,0.312,0.000,0.145,0.1127,1011
300,4915200,197.99,4.879,0.582,0.000,0.229,0.1058,1036
325,5324800,201.20,4.844,0.629,0.000,0.139,0.0966,1186
350,5734400,149.54,4.236,0.568,0.000,0.194,0.0878,1324
375,6144000,182.95,4.701,0.591,0.000,0.182,0.0802,1424
400,6553600,198.87,4.766,0.630,0.000,0.272,0.0703,1492
425,6963200,166.21,4.240,0.609,0.000,0.154,0.0653,1517
450,7372800,131.37,3.877,0.546,0.000,0.172,0.0610,1550
475,7782400,230.62,5.017,0.705,0.000,0.163,0.0575,1646
500,8192000,207.69,4.787,0.678,0.000,0.238,0.0557,1670
525,8601600,190.45,4.590,0.649,0.000,0.220,0.0531,1694
550,9011200,172.60,4.819,0.588,0.000,0.307,0.0503,1718
575,9420800,253.92,5.424,0.728,0.000,0.250,0.0485,1742
600,9830400,299.57,5.792,0.885,0.000,0.182,0.0454,1766
625,10240000,245.51,5.161,0.758,0.000,0.192,0.0418,1790
650,10649600,100.28,3.543,0.429,0.000,0.214,0.0391,1814
675,11059200,234.40,5.232,0.733,0.000,0.220,0.0382,1838
700,11468800,207.95,4.740,0.765,0.000,0.276,0.0390,1861
725,11878400,172.42,4.510,0.671,0.000,0.171,0.0385,1885
750,12288000,299.96,5.909,0.970,0.000,0.269,0.0370,1909
775,12697600,204.90,4.830,0.718,0.000,0.178,0.0363,1933
800,13107200,262.34,5.383,0.870,0.000,0.269,0.0342,1957
825,13516800,212.36,4.705,0.765,0.000,0.260,0.0340,1981
850,13926400,251.77,5.531,0.756,0.000,0.259,0.0335,2004
875,14336000,211.40,5.111,0.642,0.000,0.257,0.0343,2028
900,14745600,273.99,5.601,0.859,0.000,0.359,0.0337,2052
925,15155200,169.56,4.436,0.591,0.000,0.301,0.0324,2076
950,15564800,317.75,6.365,0.832,0.000,0.212,0.0300,2100
975,15974400,278.90,5.689,0.811,0.000,0.298,0.0278,2124
1000,16384000,222.14,5.083,0.671,0.000,0.303,0.0281,2147
1025,16793600,292.70,5.882,0.823,0.000,0.320,0.0292,2171
1050,17203200,219.69,5.266,0.552,0.000,0.178,0.0278,2195
1075,17612800,236.48,5.448,0.577,0.000,0.345,0.0266,2219
1100,18022400,292.09,5.953,0.791,0.000,0.294,0.0270,2243
1125,18432000,302.88,5.899,0.897,0.000,0.469,0.0254,2267
1150,18841600,265.73,5.544,0.803,0.000,0.407,0.0251,2291
1175,19251200,196.61,4.693,0.651,0.000,0.221,0.0246,2314
1200,19660800,232.40,5.251,0.632,0.000,0.207,0.0248,2338
1225,20070400,267.32,5.582,0.767,0.000,0.438,0.0243,2362
1250,20480000,236.55,5.200,0.655,0.000,0.257,0.0243,2386
1275,20889600,264.36,5.954,0.583,0.000,0.278,0.0243,2410
1300,21299200,265.07,5.728,0.666,0.000,0.318,0.0246,2434
1325,21708800,237.77,5.252,0.620,0.000,0.204,0.0240,2457
1350,22118400,197.43,4.730,0.604,0.000,0.456,0.0236,2481
1375,22528000,280.85,5.750,0.778,0.000,0.354,0.0229,2505
1400,22937600,258.16,5.525,0.661,0.000,0.464,0.0222,2529
1425,23347200,359.45,6.747,0.934,0.000,0.408,0.0210,2552
1450,23756800,209.85,5.064,0.553,0.000,0.445,0.0208,2581
1475,24166400,325.10,6.288,0.884,0.000,0.377,0.0220,2613
1500,24576000,241.21,5.371,0.657,0.000,0.360,0.0212,2639
